Nederland, 1000 runs, hillclimber die stopt na 50000 keer. 24/06/2024 run_1

"x, punten voor lijn tekenen", "[1, 2, 4, 5, 6, 17, 358, 5716]"
"y, punten voor lijn tekenen", "[3642.606741573034, 3852.606741573034, 3871.8876404494376, 4827.76404494382, 4914.123595505618, 5426.921348314607, 5571.2808988764045, 5697.640449438202]"
"x, punten van verbetering", "[1, 1, 2, 2, 4, 4, 5, 5, 6, 6, 17, 17, 358, 358, 5716, 5716, 50000]"
"y, punten van verbetering", "[2369.8089887640454, 3642.606741573034, 3642.606741573034, 3852.606741573034, 3852.606741573034, 3871.8876404494376, 3871.8876404494376, 4827.76404494382, 4827.76404494382, 4914.123595505618, 4914.123595505618, 5426.921348314607, 5426.921348314607, 5571.2808988764045, 5571.2808988764045, 5697.640449438202, 5697.640449438202]"


Nederland, 1000 runs, hillclimber die stopt na 50000 keer. 24/06/2024 run_2

"x, punten voor lijn tekenen", "[1, 2, 217, 234, 236, 293, 345, 591, 20931, 38063]"
"y, punten voor lijn tekenen", "[4013.685393258427, 5104.202247191011, 5170.842696629214, 5201.202247191011, 5247.202247191011, 5253.202247191011, 5368.561797752809, 5653.2808988764045, 5677.640449438202, 5712.640449438202]"
"x, punten van verbetering", "[1, 1, 2, 2, 217, 217, 234, 234, 236, 236, 293, 293, 345, 345, 591, 591, 20931, 20931, 38063, 38063, 50000]"
"y, punten van verbetering", "[2369.8089887640454, 4013.685393258427, 4013.685393258427, 5104.202247191011, 5104.202247191011, 5170.842696629214, 5170.842696629214, 5201.202247191011, 5201.202247191011, 5247.202247191011, 5247.202247191011, 5253.202247191011, 5253.202247191011, 5368.561797752809, 5368.561797752809, 5653.2808988764045, 5653.2808988764045, 5677.640449438202, 5677.640449438202, 5712.640449438202, 5712.640449438202]"


Nederland, 1000 runs, hillclimber die stopt na 50000 keer. 24/06/2024 run_3

"x, punten voor lijn tekenen", "[1, 4, 8, 10, 30, 34, 44, 110, 163, 229, 271, 1759, 7155, 8492]"
"y, punten voor lijn tekenen", "[3689.606741573034, 4255.966292134832, 4297.966292134832, 4934.123595505618, 4994.483146067416, 5076.842696629214, 5116.483146067416, 5232.202247191011, 5291.202247191011, 5344.561797752809, 5573.2808988764045, 5608.2808988764045, 5712.640449438202, 5781.640449438202]"
"x, punten van verbetering", "[1, 1, 4, 4, 8, 8, 10, 10, 30, 30, 34, 34, 44, 44, 110, 110, 163, 163, 229, 229, 271, 271, 1759, 1759, 7155, 7155, 8492, 8492, 50000]"
"y, punten van verbetering", "[2369.8089887640454, 3689.606741573034, 3689.606741573034, 4255.966292134832, 4255.966292134832, 4297.966292134832, 4297.966292134832, 4934.123595505618, 4934.123595505618, 4994.483146067416, 4994.483146067416, 5076.842696629214, 5076.842696629214, 5116.483146067416, 5116.483146067416, 5232.202247191011, 5232.202247191011, 5291.202247191011, 5291.202247191011, 5344.561797752809, 5344.561797752809, 5573.2808988764045, 5573.2808988764045, 5608.2808988764045, 5608.2808988764045, 5712.640449438202, 5712.640449438202, 5781.640449438202, 5781.640449438202]"


Nederland, 1000 runs, hillclimber die stopt na 50000 keer. 24/06/2024 run_4

"x, punten voor lijn tekenen", "[1, 3, 5, 29, 31, 87, 483, 1347, 1501, 4577, 8297]"
"y, punten voor lijn tekenen", "[4063.685393258427, 4116.606741573034, 5034.483146067416, 5257.202247191011, 5262.202247191011, 5337.202247191011, 5518.921348314607, 5577.2808988764045, 5591.2808988764045, 5593.2808988764045, 5690.640449438202]"
"x, punten van verbetering", "[1, 1, 3, 3, 5, 5, 29, 29, 31, 31, 87, 87, 483, 483, 1347, 1347, 1501, 1501, 4577, 4577, 8297, 8297, 50000]"
"y, punten van verbetering", "[2369.8089887640454, 4063.685393258427, 4063.685393258427, 4116.606741573034, 4116.606741573034, 5034.483146067416, 5034.483146067416, 5257.202247191011, 5257.202247191011, 5262.202247191011, 5262.202247191011, 5337.202247191011, 5337.202247191011, 5518.921348314607, 5518.921348314607, 5577.2808988764045, 5577.2808988764045, 5591.2808988764045, 5591.2808988764045, 5593.2808988764045, 5593.2808988764045, 5690.640449438202, 5690.640449438202]"


Nederland, 1000 runs, hillclimber die stopt na 50000 keer. 24/06/2024 run_5

"x, punten voor lijn tekenen", "[1, 3, 14, 20, 33, 233, 239, 265, 786, 1118, 1262, 1766, 5505, 9158, 17206]"
"y, punten voor lijn tekenen", "[4595.483146067416, 4913.483146067416, 5178.842696629214, 5244.842696629214, 5268.202247191011, 5310.561797752809, 5375.561797752809, 5452.921348314607, 5479.561797752809, 5525.921348314607, 5573.921348314607, 5613.2808988764045, 5613.2808988764045, 5682.640449438202, 5792.640449438202]"
"x, punten van verbetering", "[1, 1, 3, 3, 14, 14, 20, 20, 33, 33, 233, 233, 239, 239, 265, 265, 786, 786, 1118, 1118, 1262, 1262, 1766, 1766, 5505, 5505, 9158, 9158, 17206, 17206, 50000]"
"y, punten van verbetering", "[2369.8089887640454, 4595.483146067416, 4595.483146067416, 4913.483146067416, 4913.483146067416, 5178.842696629214, 5178.842696629214, 5244.842696629214, 5244.842696629214, 5268.202247191011, 5268.202247191011, 5310.561797752809, 5310.561797752809, 5375.561797752809, 5375.561797752809, 5452.921348314607, 5452.921348314607, 5479.561797752809, 5479.561797752809, 5525.921348314607, 5525.921348314607, 5573.921348314607, 5573.921348314607, 5613.2808988764045, 5613.2808988764045, 5613.2808988764045, 5613.2808988764045, 5682.640449438202, 5682.640449438202, 5792.640449438202, 5792.640449438202]"


Nederland, 1000 runs, hillclimber die stopt na 50000 keer. 24/06/2024 run_6

"x, punten voor lijn tekenen", "[1, 4, 6, 9, 18, 58, 1842, 44100]"
"y, punten voor lijn tekenen", "[3668.606741573034, 4322.3258426966295, 4557.685393258427, 4695.404494382023, 5235.202247191011, 5602.2808988764045, 5672.640449438202, 5697.640449438202]"
"x, punten van verbetering", "[1, 1, 4, 4, 6, 6, 9, 9, 18, 18, 58, 58, 1842, 1842, 44100, 44100, 50000]"
"y, punten van verbetering", "[2369.8089887640454, 3668.606741573034, 3668.606741573034, 4322.3258426966295, 4322.3258426966295, 4557.685393258427, 4557.685393258427, 4695.404494382023, 4695.404494382023, 5235.202247191011, 5235.202247191011, 5602.2808988764045, 5602.2808988764045, 5672.640449438202, 5672.640449438202, 5697.640449438202, 5697.640449438202]"


Nederland, 1000 runs, hillclimber die stopt na 50000 keer. 24/06/2024 run_7

"x, punten voor lijn tekenen", "[1, 4, 27, 31, 37, 65, 84, 230, 785, 36950]"
